qubit_number,limitL,origin_size,origin_depth,SABRE_size,SABRE_depth,DSWO_size,DSWP_depth
250,9,94125,2769,334025,30228,328171,20416
200,9,60300,2112,191711,18456,190848,14714
350,9,184275,3858,768056,70476,732197,36608
127,9,24384,1341,61115,9899,61496,8850
400,9,240600,4413,1087872,95808,1026747,48030
100,9,15150,993,33823,6351,33885,5874
300,9,135450,3309,525088,47008,506162,27731
