qubit_number,limitL,origin_size,origin_depth,SABRE_size,SABRE_depth,DSWO_size,DSWP_depth
250,9,94125,2769,450475,31389,446684,23635
433,9,281883,4791,1856819,142351,1830248,89679
200,9,60300,2112,258038,19124,258408,16379
350,9,184275,3858,1060060,77468,1037487,49709
127,9,24384,1341,82681,10199,83656,10406
400,9,240600,4413,1504438,113265,1480286,72156
100,9,15150,993,45405,7304,46027,7455
300,9,135450,3309,715124,50753,701908,34539
