qubit_number,limitL,origin_size,origin_depth,SABRE_size,SABRE_depth,DSWO_size,DSWP_depth
250,9,31375,499,80494,8308,81595,6947
433,9,93961,865,280833,23416,261089,17532
200,9,20100,399,50197,5250,47907,4196
350,9,61425,699,168070,14358,169489,12801
127,9,8128,253,19045,2394,19488,1933
400,9,80200,799,230325,22105,238431,17489
100,9,5050,199,11234,1591,11776,1465
300,9,45150,599,123622,11546,115945,9523
