qubit_number,limitL,origin_size,origin_depth,SABRE_size,SABRE_depth,DSWO_size,DSWP_depth
250,9,31375,499,61936,5599,63283,4492
200,9,20100,399,39013,3860,39852,3615
350,9,61425,699,127726,10654,126500,9208
127,9,8128,253,14768,1501,14984,1491
400,9,80200,799,168424,12611,171802,10627
100,9,5050,199,9191,1051,9317,1246
300,9,45150,599,92790,7456,94209,7023
