qubit_number,limitL,origin_size,origin_depth,SABRE_size,SABRE_depth,DSWO_size,DSWP_depth
250,9,62500,1787,716362,83475,734582,80623
433,9,187489,3263,3172170,325471,3197436,272741
200,9,40000,1427,398433,48963,412168,49803
350,9,122500,2580,1767587,188785,1788562,169909
127,9,16129,894,122754,17513,128537,18083
400,9,160000,2965,2545959,266835,2570745,227530
100,9,10000,710,67071,10328,69809,11011
300,9,90000,2222,1164262,129675,1186588,121098
